PathogenSpecies,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
Verticillium heterocladum,NA,NA,NA,NA,NA,NA
Verticillium indicum,93592,Verticillium,NA,Hypocreales,Sordariomycetes,Fungi
Verticillium insectorum,330378,Verticillium,NA,Hypocreales,Sordariomycetes,Fungi
Verticillium psalliotiae,NA,NA,NA,NA,NA,NA
Verticillium  sp.,NA,NA,NA,NA,NA,NA
Volutella epicoccum,NA,NA,NA,NA,NA,NA
Paecilomyces amoenoroseus,NA,NA,NA,NA,NA,NA
Paecilomyces andoi,NA,NA,NA,NA,NA,NA
Paecilomyces canadensis,235374,Paecilomyces,Thermoascaceae,Eurotiales,Eurotiomycetes,Fungi
Paecilomyces flavovirescens,NA,NA,NA,NA,NA,NA
Paecilomyces heliothis,NA,NA,NA,NA,NA,NA
Paecilomyces javanicus,NA,NA,NA,NA,NA,NA
Paecilomyces reniformis,332065,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Paecilomyces  sp.,NA,NA,NA,NA,NA,NA
Paecilomyces tenuipes,45847,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Paecilomyces terricola ,1610694,Sarocladium,Sarocladiaceae,Hypocreales,Sordariomycetes,Fungi
Paecilomyces viridis,858349,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Beauveria amorpha,37997,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Beauveria brongniartii,118266,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Metarhizium anisopliae var. anisopliae,5530,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Aspergillus flavus,5059,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Aspergillus  sp.,5052,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Aschersonia aleyrodis,324773,Moelleriella,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Aschersonia goldiana,150352,Aschersonia,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Aschersonia insperata,217360,Aschersonia,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Lagenidium giganteum,4803,Lagenidium,Lagenidiaceae,Lagenidiales,NA,NA
Crypticola clavulifera,2182428,Crypticola,NA,Peronosporales,NA,NA
Leptolegnia chapmanii,92984,Leptolegnia,Saprolegniaceae,Saprolegniales,NA,NA
Coelomycidium simulii,NA,NA,NA,NA,NA,NA
Myiophagus ucrainicus,NA,NA,NA,NA,NA,NA
Basidiobolus ranarum,34480,Basidiobolus,Basidiobolaceae,Basidiobolales,Basidiobolomycetes,Fungi
Batkoa apiculata,348615,Batkoa,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Batkoa gigantea,423461,Batkoa,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Batkoa major,423462,Batkoa,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Furia pieris,181056,Furia,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Pandora bullata,933987,Pandora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Pandora blunckii,181057,Pandora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
