"ERNv","HostSpecies","VirusType","PathogenSpecies","Virus","HostStageInfected","HostTissueInfected","FieldOrLab","Country","IntermediateHost","CreationDate","ModificationDate","ProvinceA","PathogenValue","Group","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
334,"Lymantria mathura aurora","RNA virus","Reoviridae","CPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
335,"Lymantria monacha","RNA virus","Reoviridae","CPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",78897,"Lymantria","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
336,"Lymantria monacha","DNA virus","Baculoviridae","Lymantria monacha NPV  (LmMNPV)","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",78897,"Lymantria","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
337,"Lymantria obfuscata","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",78900,"Lymantria","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
338,"Orgyia anartoides","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",345880,"Teia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
339,"Orgyia antiqua","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",335469,"Orgyia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
340,"Orgyia antiqua","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",335469,"Orgyia","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
341,"Orgyia australis","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",335470,"Orgyia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
342,"Orgyia antiqua badia","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
343,"Orgyia gonostigma","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
344,"Orgyia leucostigma","DNA virus","Baculoviridae","Orgyia pseudotsugata NPV  (OpMNPV)","","","","","",1996-01-08,1999-02-12,"NF, NS","Useful control agent","Virus",95259,"Orgyia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
345,"Orgyia leucostigma","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",95259,"Orgyia","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
346,"Orgyia pseudotsugata","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",33414,"Orgyia","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
1354,"Orgyia turbata","DNA virus","Baculoviridae","NPV","Larva","","Field","Thailand","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
347,"Orgyia vetusta","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",335474,"Orgyia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
348,"Bucculatrix thurberiella","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
349,"Acronicta americana","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",688356,"Acronicta","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
350,"Actebia fennica","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",989868,"Actebia","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
351,"Eudocima tyrannus  ","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1137969,"Eudocima","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
352,"Aedia leucomelas","DNA virus","Baculoviridae","NPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",987456,"Aedia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
353,"Agrochola helvola","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",987867,"Agrochola","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
354,"Agrochola lychnidis","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,2000-12-28,"","","Virus",987871,"Agrochola","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
355,"Agrotis exclamationis","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",215162,"Agrotis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
356,"Agrotis ipsilon","DNA virus","Baculoviridae","NPV","","","Field","Japan, China","",1996-01-08,1999-02-12,"","","Virus",56364,"Agrotis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
357,"Agrotis segetum","DNA virus","Baculoviridae","Agrotis segetum NPV  (AsMNPV)","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",47767,"Agrotis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
358,"Agrotis segetum","RNA virus","Reoviridae","CPV","","","Field","Japan, China","",1996-01-08,1999-02-12,"","","Virus",47767,"Agrotis","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
359,"Alabama argillacea","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",720635,"Alabama","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
360,"Aletia oxygala luteopallens","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
361,"Alabama argillacea","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",720635,"Alabama","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
362,"Anadevidia peponis","DNA virus","Baculoviridae","NPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",254367,"Anadevidia","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
363,"Anadevidia peponis","DNA virus","Iridoviridae","IV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",254367,"Anadevidia","Noctuidae","Lepidoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
364,"Anagrapha falcifera","DNA virus","Baculoviridae","NPV ","","","","USA","",1996-01-08,1999-02-12,"","","Virus",56368,"Anagrapha","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
365,"Anomis flava","DNA virus","Baculoviridae","NPV","","","Field","Japan, China","",1996-01-08,1999-02-12,"","","Virus",1123330,"Anomis","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
366,"Xestia ilimata","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
1355,"Anticarsia gemmatalis","DNA virus","Baculoviridae","Anticarsia gemmatalis NPV  (AgMNPV)","Larva","","Field","USA/Florida, Brazil","",1996-01-08,1999-02-12,"","","Virus",129554,"Anticarsia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
367,"Antitype xanthomista","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
368,"Acronicta major","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",1078809,"Acronicta","Noctuidae","Lepidoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
369,"Aporophyla lutulenta","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",988064,"Aporophyla","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
370,"Arcte coerulea","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
371,"Arcte coerulea","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
372,"Argyrogramma basigera","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",690214,"Enigmogramma","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
373,"Autographa biloba","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
374,"Autographa bimaculata","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1316636,"Autographa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
375,"Autographa californica","DNA virus","Baculoviridae","Autographa californica NPV (AcMNPV)","","","","USA","",1996-01-08,2000-12-13,"","","Virus",572729,"Autographa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
376,"Autographa californica","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",572729,"Autographa","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
377,"Autographa gamma","RNA virus","Reoviridae","CPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",254363,"Autographa","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
378,"Autographa gamma","DNA virus","Baculoviridae","NPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",254363,"Autographa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
379,"Autographa nigrisigna","DNA virus","Baculoviridae","NPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",254368,"Autographa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
380,"Autographa precationis","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",319802,"Autographa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
381,"Axylia putris","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",988077,"Axylia","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
382,"Bellura gortynoides","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1093866,"Bellura","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
383,"Calophasia lunula","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",214073,"Calophasia","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
384,"Calophasia lunula","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",214073,"Calophasia","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
385,"Catabena esula","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
386,"Catocala conjucta","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
387,"Catocala nymphaea","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",987898,"Catocala","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
388,"Catocala nymphagoga","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1734902,"Catocala","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
389,"Melanchra picta","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",689214,"Melanchra","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
390,"Melanchra picta","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",689214,"Melanchra","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
391,"Cerapteryx graminis","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",980960,"Cerapteryx","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
392,"Chrysodeixis chalcites","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",749652,"Chrysodeixis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
393,"Chrysodeixis eriosoma","DNA virus","Baculoviridae","NPV","","","","New Zealand","",1996-01-08,1999-02-12,"","","Virus",254718,"Chrysodeixis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
394,"Diachrysia orichalcea","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
395,"Dicycla oo","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1858094,"Dicycla","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
396,"Diparopsis watersi","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
397,"Discestra trifolii","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",987454,"Anarta","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
398,"Discestra trifolii","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",987454,"Anarta","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
399,"Dryobota furva","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
400,"Dryobota protea","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
401,"Dryobotodes monochroma","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1100971,"Dryobotodes","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
402,"Eupsilia sp.","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",116129,"Eupsilia","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
403,"Euxoa auxiliaris","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",320027,"Euxoa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
404,"Euxoa messoria","DNA virus","Baculoviridae","Euxoa messoria NPV  (EmMNPV)","","","","","",1996-01-08,1999-02-12,"","","Virus",689085,"Euxoa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
405,"Euxoa messoria","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",689085,"Euxoa","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
406,"Euxoa ochrogaster","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1341263,"Euxoa","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
407,"Euxoa ochrogaster","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1341263,"Euxoa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
408,"Euxoa scandens","RNA virus","Reoviridae","CPV","","","Field","Canada","",1996-01-08,1999-02-12,"QC","Insignificant control agent","Virus",690670,"Euxoa","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
409,"Hada nana","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
410,"Hadena serena","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
411,"Hadena sordida","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
412,"Heliophobus albicolon","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
413,"Helicoverpa armigera","RNA virus","Reoviridae","CPV","","","Field","Japan, China","",1996-01-08,1999-02-12,"","","Virus",29058,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
414,"Helicoverpa armigera","DNA virus","Baculoviridae","NPV","","","Field","Japan, China, New Zealand","",1996-01-08,1999-02-12,"","","Virus",29058,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
415,"Helicoverpa assulta","DNA virus","Baculoviridae","NPV","","","Field","China","",1996-01-08,1999-02-12,"","","Virus",52344,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
416,"Helicoverpa obtectus","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
417,"Heliothis peltigera","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",542982,"Heliothis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
418,"Helicoverpa phloxiphaga","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
419,"Helicoverpa punctigera","DNA virus","Baculoviridae","Heliothis punctigera NPV  (HpMNPV)","","","","","",1996-01-08,1999-02-12,"","","Virus",27545,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
420,"Heliothis subflexa","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",38041,"Heliothis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
421,"Heliothis virescens","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",7102,"Heliothis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
422,"Heliothis virescens","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",7102,"Heliothis","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
423,"Helicoverpa zea","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",7113,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
424,"Helicoverpa zea","DNA virus","Baculoviridae","Heliothis zea NPV (HzSNPV)","","","","USA","",1996-01-08,2000-12-13,"","","Virus",7113,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
1356,"Helicoverpa zea","DNA virus","Iridoviridae","Helicoverpa zea IV","Larva","Fat body, silk glands, muscles","Field","USA","",1996-01-08,1999-02-12,"","","Virus",7113,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
425,"Hydrillodes morosa","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
426,"Lacanobia oleracea","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",79499,"Lacanobia","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
427,"Lampra fimbriata","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
428,"Lithophane leautieri","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1870035,"Lithophane","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
429,"Mamestra brassicae","RNA virus","Reoviridae","CPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",55057,"Mamestra","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
430,"Mamestra brassicae","DNA virus","Baculoviridae","NPV","","","Field","Japan, China","",1996-01-08,1999-02-12,"","","Virus",55057,"Mamestra","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
431,"Mamestra brassicae","DNA virus","Iridoviridae","IV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",55057,"Mamestra","Noctuidae","Lepidoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
432,"Mamestra configurata","DNA virus","Baculoviridae","Mamestra configurata NPV","","","Field","Canada","",1996-01-08,1999-02-12,"MB, SK, AB","Useful control agent","Virus",174822,"Mamestra","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
433,"Mormo maura","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",988133,"Mormo","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
434,"Mocis undata","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1449814,"Mocis","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
435,"Moma champa","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
436,"Mythimna convecta","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1123341,"Mythimna","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
437,"Mythimna unipuncta","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",103831,"Mythimna","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
438,"Mythimna unipuncta","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",103831,"Mythimna","Noctuidae","Lepidoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
439,"Nephelodes minians","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",320044,"Nephelodes","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
440,"Noctua pronuba","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",214277,"Noctua","Noctuidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
441,"Oraesia emarginata","RNA virus","Reoviridae","CPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",938198,"Oraesia","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
442,"Oraesia emarginata","DNA virus","Baculoviridae","NPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",938198,"Oraesia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
443,"Oraesia excavata","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",1126724,"Oraesia","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
