"","CitationCode","Reference","CreationDate","ModificationDate","ReadBy","GetIt","nvpCount"
"65",86,"Moore, D., Reed, M., Le Pantourel, G., Abraham, Y.J., and Prior, C. 1992. Reduction of feeding by the desert locust, Schistocerca gregaria after infection with Metarhizium flavoviride. J. Invertebr. Pathol. 60: 304-307.","1/8/2096","7/8/2096","","",1
"66",87,"Vacante, V., Cacciola, S.O., and Pennisi, A.M. 1994. Epizootiological study of Neozygites parvispora (Zygomycota: Entomophthoraceae) in a population of Frankliniella occidentalis (Thysanoptera: Thripidae) on pepper in Sicily.   Entomophaga 39: 123-130.","1/8/2096","7/8/2096","","",1
"67",88,"Ignoffo, C.M. The fungus Nomuraea rileyi as amicrobial insecticide. Chapter 27 [pp. 513-538] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.","1/8/2096","9/26/2000","","",23
"68",89,"Dongrui, L., Yuneng, C., Daiyue, L., Qilin, Z., Yuanyang, H., Huajun, H., Kebin, Z. 1986. The Atlas of Insect Viruses in China. 146pp + plates.","1/8/2096","7/8/2096","","",NA
"69",91,"Ignoffo, C. M., Garcia, C., Zuidema, D., and Vlak, J.M. 1995. Relative in vivo activity and simulated sunlight-uv stability of inclusion bodies of a wild-type and an enginneered polyhedral envelope-negative isolate of the Nucleopolyhedrosis Virus of Autographa californica.  J. Invertebr. Pathol. 66: 212-213.","1/8/2096","7/8/2096","","",NA
"70",92,"Arne, C. N., and Nordin, G. L. 1995. Enhancement of indices of viral infection by simultaneously administering Helicoverpa zea and Autographa californica Nuclear Polyhedrosis Viruses to larval Helicoverpa zea (Boddie). J. Invertebr. Pathol. 66: 18-24.","1/8/2096","7/8/2096","","",NA
"71",93,"Sikorowski, P.P.,  and Lawrence, A.M. 1994. Heliothis Cytoplasmic Polyhedrosis Virus and its effect upon microbial contaminant-free Heliothis virescens.  J. Invertebr. Pathol.  63: 56-62.","1/8/2096","7/8/2096","","",NA
"72",94,"Taniai, K., and Yamakawa, M. 1992. Characterization of a Nuclear Polyhedrosis Virus from a Japanese oak silkworm, Antheraea yamamai. J. Invertebr. Pathol. 60: 314-316.","1/8/2096","7/8/2096","","",NA
"73",95,"White, S.E., Fukuda, T., and Undeen, A.H. 1994. Horizontal transmission of Amblyospora opacita (Microspora:Amblyosporidae) between the mosquito, Culex territans, and the copepod, Paracyclops fimbriatus chiltoni. J. Invertebr. Pathol. 63: 19-25.","1/8/2096","7/8/2096","","",1
"74",96,"De Graaf, D.C., Raes, H., Sabbe, G., de Rycke, P.H., and Jacobs, F.J. 1994. Early development of Nosema apis (Microspora: Nosematidae) in the midgut epithelium of the honybee (Apis mellifera). J. Invertebr. Pathol. 63: 74-81.","1/8/2096","7/8/2096","","",1
