"","ERNntr","Pathogen","DateEntered","DateModified","LogMaxDose","HostStageTested","Host","Group","HighTaxon","LowTaxon","Order","Family"
"293",293,"Nosema gasti","6/12/2096","2/12/2099","","","Diabrotica undecimpunctata","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Chrysomelidae"
"294",294,"Nosema pyrausta","6/12/2096","2/12/2099","","","Aplomya caesar","Protozoa","Microspora","Microsporea (Microsporida)","Diptera","Tachinidae"
"295",295,"Nosema pyrausta","6/12/2096","2/12/2099","","","Eriborus terebrans","Protozoa","Microspora","Microsporea (Microsporida)","Hymenoptera","Ichneumonidae"
"296",296,"Pleistophora schubergi","6/12/2096","2/12/2099","","","Bombyx mori","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Bombycidae"
"297",297,"Pleistophora schubergi","6/12/2096","2/12/2099","","","Galleria mellonella","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Pyralidae"
"298",298,"Pleistophora schubergi","6/12/2096","2/12/2099","","","Oryzaephilus surinamensis","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Sylvanidae"
"299",299,"Pleistophora schubergi","6/12/2096","2/12/2099","","","Tenebrio molitor","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Tenebrionidae"
"300",300,"Pleistophora schubergi","6/12/2096","2/12/2099","","","Tribolium castaneum","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Tenebrionidae"
"301",301,"Vairimorpha necatrix","6/12/2096","2/12/2099","","","Artogeia rapae","Protozoa","Microspora","Microsporea (Microsporida)","",""
"302",302,"Vairimorpha necatrix","6/12/2096","2/12/2099","","","Phryganidia californica","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Notodontidae"
"303",303,"Vairimorpha necatrix","6/12/2096","2/12/2099","6.3 spores/larva","Larva","Depressaria pastinacella","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Oecophoridae"
"304",304,"Vairimorpha necatrix","6/12/2096","2/12/2099","6.3 spores/larva","Larva","Manduca sexta","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Sphingidae"
"305",305,"Vairimorpha necatrix","6/12/2096","2/12/2099","6.3 spores/larva","Larva","Manduca quinquemaculata","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Sphingidae"
"306",306,"Vairimorpha necatrix","6/12/2096","3/27/2099","At least 10^5 spores per individual","Adult","Musca domestica","Protozoa","Microspora","Microsporea (Microsporida)","Diptera","Muscidae"
"307",307,"Vairimorpha necatrix","6/12/2096","3/27/2099","At least 10^5 spores per individual","Larva","Neurotoma fasciata","Protozoa","Microspora","Microsporea (Microsporida)","Hymenoptera","Pamphiliidae"
"308",308,"Vairimorpha necatrix","6/12/2096","3/27/2099","At least 10^5 spores per individual","Adult","Hypera punctata","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Curculionidae"
"309",309,"Vairimorpha necatrix","6/12/2096","3/27/2099","At least 10^5 spores per individual","Adult","Acalymma vittatum ","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Chrysomelidae"
"310",310,"Vairimorpha necatrix","6/12/2096","3/27/2099","At least 10^5 spores per individual","Adult","Cerotoma trifurcata","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Chrysomelidae"
"311",311,"Vairimorpha necatrix","6/12/2096","3/27/2099","At least 10^5 spores per individual","Adult","Diabrotica undecimpunctata howardi","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Chrysomelidae"
"312",312,"Vairimorpha necatrix","6/12/2096","9/13/2000","","","Campoletis perdistinctus  ","Protozoa","Microspora","Microsporea (Microsporida)","Hymenoptera","Ichneumonidae"
"313",313,"Vairimorpha necatrix","6/12/2096","2/12/2099","","","Cardiochiles nigriceps","Protozoa","Microspora","Microsporea (Microsporida)","Hymenoptera","Braconidae"
"314",314,"Vairimorpha necatrix","6/12/2096","2/12/2099","","","Bonnetia comta","Protozoa","Microspora","Microsporea (Microsporida)","Diptera","Tachinidae"
"315",315,"Vavraia culicis","6/12/2096","2/12/2099","","","Tenebrio molitor","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Tenebrionidae"
"316",316,"Vavraia culicis","6/12/2096","2/12/2099","","","Galleria mellonella","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Pyralidae"
"317",317,"Vavraia culicis","6/12/2096","2/12/2099","","","Spodoptera litura","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Noctuidae"
"318",318,"Vavraia culicis","6/12/2096","2/12/2099","","","Agrotis segetum","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Noctuidae"
"319",319,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Danaus plexippus","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Danaidae"
"320",320,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Alsophila pometaria","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"321",321,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Phigalia titea","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"322",322,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Automeris io","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Saturniidae"
"323",323,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Callosamia angulifera","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Saturniidae"
"324",324,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Heterocampa umbrata","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Notodontidae"
"325",325,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Catocala vidua","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"326",326,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Pyreferra hesperidago","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"327",327,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Eupsilia vinulenta","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"328",328,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Sericaglaea signata","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"329",329,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Chaetoglaea sericea","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"330",330,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Sunira bicolorago","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"331",331,"Entomophaga maimaiga","7/3/2096","2/12/2099","5 conidia/ml","Larva","Orthosia hibisci","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"332",332,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Epargyreus clarus","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Hesperiidae"
"333",333,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Erynnis juvenalis","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Hesperiidae"
"334",334,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Battus philenor","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Papilionidae"
"335",335,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Papilio glaucus","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Papilionidae"
"336",336,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Asterocampa clyton","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Apaturidae"
"337",337,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Geina periscelidactyla","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Pterophoridae"
"338",338,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Itame pustularia","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"339",339,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Phigalia strigataria","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"340",340,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Erannis tiliaria","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"341",341,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Lomographa glomeraria","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"342",342,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Ennomos magnaria","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"343",343,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Besma quercivoraria","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"344",344,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Lambdina pellucidaria","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"345",345,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Eutrapela clemataria","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"346",346,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Prochoerodes transversata","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"347",347,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Hydria prunivorata","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Geometridae"
"348",348,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Apatelodes torrefacta","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Apatelodidae"
"349",349,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Antheraea polyphemus","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Saturniidae"
"350",350,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Laothoe juglandis","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Sphingidae"
"351",351,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Heterocampa biundata","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Notodontidae"
"352",352,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Spilosoma congrua","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Arctiidae"
"353",353,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Lophocampa caryae","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Arctiidae"
"354",354,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Colocasia propinquilinea","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"355",355,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Nedra ramosula","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"356",356,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Lithophane semiusta","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"357",357,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Lithophane grotei","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"358",358,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Lithophane unimoda","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"359",359,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Crocigrapha normani","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"360",360,"Entomophaga maimaiga","7/4/2096","2/12/2099","5 conidia/ml","Larva","Morrisonia confusa","Fungi","Zygomycetes","Entomophthorales","Lepidoptera","Noctuidae"
"361",361,"Nosema algerae","7/17/2096","2/12/2099","unknown","Larva","Anopheles atroparvus","Protozoa","Microspora","Microsporea (Microsporida)","Diptera","Culicidae"
"362",362,"Nosema algerae","7/17/2096","2/12/2099","5.43 spores/larva","Larva","Spilosoma virginica","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Arctiidae"
"363",363,"Nosema algerae","7/17/2096","2/12/2099","5.43 spores/larva","Larva","Spodoptera ornithogalli","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Noctuidae"
"364",364,"Nosema algerae","7/17/2096","2/12/2099","unknown","Nymph","Blaberus discoidalis","Protozoa","Microspora","Microsporea (Microsporida)","Blattodea","Blaberidae"
"365",365,"Vairimorpha necatrix","7/17/2096","3/27/2099","At least 10^5 spores per individual ","Larva","Colias eurytheme","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Pieridae"
"366",366,"Pleistophora schubergi","7/31/2096","2/12/2099","7 spores/ml","Larva","Plodia interpunctella ","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Pyralidae"
"367",367,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Agrotis segetum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"368",368,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Anthela varia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Anthelidae"
"369",369,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Cactoblastis cactorum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"370",370,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Chrysodeixis chalcites","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"371",371,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Euproctis subflava","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"372",372,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Galleria mellonella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"373",373,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Lymantria dispar","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"374",374,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Manduca quinquemaculata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"375",375,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Manduca sexta","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"376",376,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Nomophila nearctica","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"377",377,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Orgyia anartoides","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"378",378,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Papilio xuthus","Viruses","DNA virus","Baculoviridae","Lepidoptera","Papilionidae"
"379",379,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Pieris brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pieridae"
"380",380,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Artogeia rapae","Viruses","DNA virus","Baculoviridae","",""
"381",381,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Plusia nigrisigna","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"382",382,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Plutella xylostella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Plutellidae"
"383",383,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Spodoptera exigua","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"384",384,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Spodoptera frugiperda","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"385",385,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Spodoptera litura","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"386",386,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Spodoptera mauritia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"387",387,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Spodoptera ornithogalli","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"388",388,"Heliothis zea NPV (HzSNPV)","8/10/2096","2/12/2099","","","Trichoplusia ni","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"389",389,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Apis mellifera","Viruses","DNA virus","Baculoviridae","Hymenoptera","Apidae"
"390",390,"Heliothis zea NPV (HzSNPV)","8/13/2096","6/12/2000","","","Brachymeria intermedia","Viruses","DNA virus","Baculoviridae","Hymenoptera","Chalcididae"
"391",391,"Heliothis zea NPV (HzSNPV)","8/13/2096","12/28/2000","","","Campoletis perdistinctus  ","Viruses","DNA virus","Baculoviridae","Hymenoptera","Ichneumonidae"
"392",392,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Chelonus blackburni","Viruses","DNA virus","Baculoviridae","Hymenoptera","Braconidae"
"393",393,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Meteorus leviventris","Viruses","DNA virus","Baculoviridae","Hymenoptera","Braconidae"
"394",394,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Musca domestica","Viruses","DNA virus","Baculoviridae","Diptera","Muscidae"
"395",395,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Voria ruralis","Viruses","DNA virus","Baculoviridae","Diptera","Tachinidae"
"396",396,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Hippodamia convergens","Viruses","DNA virus","Baculoviridae","Coleoptera","Coccinellidae"
"397",397,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Phaedon brassicae","Viruses","DNA virus","Baculoviridae","Coleoptera","Chrysomelidae"
"398",398,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Chrysopa carnea","Viruses","DNA virus","Baculoviridae","Neuroptera","Chrysopidae"
"399",399,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Geocoris pallens","Viruses","DNA virus","Baculoviridae","Heteroptera","Lygaeidae"
"400",400,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Laodelphax striatellus","Viruses","DNA virus","Baculoviridae","Homoptera","Delphacidae"
"401",401,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Orius tristicolor","Viruses","DNA virus","Baculoviridae","Heteroptera","Anthocoridae"
"402",402,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Nephotettix cincticeps","Viruses","DNA virus","Baculoviridae","Homoptera","Cicadellidae"
"403",403,"Heliothis zea NPV (HzSNPV)","8/13/2096","2/12/2099","","","Nilaparvata lugens","Viruses","DNA virus","Baculoviridae","Homoptera","Delphacidae"
"404",404,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","2 OB/mm2","Larva","Euchaetes egle","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"405",405,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","2.4 OB/mm2","Larva","Feltia jaculifera","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"406",406,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","2.4 OB/mm2","Larva","Lacinipolia renigera","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"407",407,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","12/28/2000","2 OB/mm2","Larva","Hypena scabra","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"408",408,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","2 OB/mm2","Larva","Symmerista albifrons","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"409",409,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","2 OB/mm2","Larva","Elasmopalpus lignosellus","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"410",410,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","2 OB/mm2","Larva","Ceratomia catalpae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"411",411,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","2 OB/mm2","Larva","Zygogramma suturalis","Viruses","DNA virus","Baculoviridae","Coleoptera","Chrysomelidae"
"412",412,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","7.7 OB/mm2","Larva","Chironomus riparius","Viruses","DNA virus","Baculoviridae","Diptera","Chironomidae"
"413",413,"Anagrapha falcifera NPV (AfMNPV)","8/14/2096","2/12/2099","2 OB/mm2","Larva","Musca domestica","Viruses","DNA virus","Baculoviridae","Diptera","Muscidae"
"414",414,"Spodoptera exigua NPV  (SeMNPV)","8/15/2096","2/12/2099","3.15 OB/mm2","Larva","Heliothis virescens","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"415",415,"Spodoptera exigua NPV  (SeMNPV)","8/15/2096","2/12/2099","3.15 OB/mm2","Larva","Spodoptera frugiperda","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"416",416,"Spodoptera exigua NPV  (SeMNPV)","8/15/2096","2/12/2099","3.15 OB/mm2","Larva","Trichoplusia ni","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"417",417,"Plusia gamma NPV (PgSNPV)","8/15/2096","12/13/2000","4.4 pibs/mm2","Larva","Trichoplusia ni","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"418",418,"Bacillus sphaericus","8/15/2096","2/12/2099","","","Epiplatys bifasciatus","Bacteria","Spore-forming bacteria","Bacillaceae","Heteroptera","Nepidae"
"419",419,"Bacillus sphaericus","8/15/2096","3/1/2099","","Larva","Simulium vittatum","Bacteria","Spore-forming bacteria","Bacillaceae","Diptera","Simuliidae"
"420",420,"Bacillus sphaericus","8/15/2096","2/12/2099","","","Plodia interpunctella ","Bacteria","Spore-forming bacteria","Bacillaceae","Lepidoptera","Pyralidae"
"421",421,"Bacillus sphaericus","8/15/2096","2/12/2099","","","Lasioderma serricorne","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Anobiidae"
"422",422,"Bacillus sphaericus","8/15/2096","2/12/2099","","","Apis mellifera","Bacteria","Spore-forming bacteria","Bacillaceae","Hymenoptera","Apidae"
"423",423,"Bacillus popilliae","10/27/2096","2/12/2099","","","Amphimallon solstitialis","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"424",424,"Bacillus popilliae","10/27/2096","2/12/2099","","","Cetonia aurata","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"425",425,"Bacillus popilliae","10/27/2096","2/12/2099","","","Lichnanthe vulpina","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"426",426,"Bacillus popilliae","10/27/2096","2/12/2099","","","Maladera castanea","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera ","Scarabaeidae "
"427",427,"Bacillus popilliae","10/27/2096","2/12/2099","","","Oryctes nasicornis","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"428",428,"Bacillus popilliae","10/27/2096","2/12/2099","","","Phyllophaga fusca","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"429",429,"Bacillus popilliae","10/27/2096","2/12/2099","","","Phyllophaga futilis","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"430",430,"Bacillus popilliae","10/27/2096","2/12/2099","","","Phyllophaga hirticula","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"431",431,"Bacillus popilliae","10/27/2096","2/12/2099","","","Phyllophaga inversa","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"432",432,"Bacillus popilliae","10/27/2096","2/12/2099","","","Phyllophaga rugosa","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
"433",433,"Nosema epilachnae","11/10/2096","2/12/2099","","Adult","Coleomegilla maculata","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Coccinellidae"
"434",434,"Nosema algerae","4/14/2097","2/12/2099","","","Psorophora ciliata","Protozoa","Microspora","Microsporea (Microsporida)","Diptera","Culicidae"
"435",435,"Nosema algerae","4/14/2097","2/12/2099","","","Toxorhynchites rutilus septentrionalis","Protozoa","Microspora","Microsporea (Microsporida)","Diptera","Culicidae"
"436",436,"Aspergillus parasiticus","4/14/2097","2/12/2099","","EggLarvaPupa","Megachile rotundata","Fungi","Deuteromycetes","unknown","Hymenoptera","Megachilidae"
"437",437,"Beauveria bassiana","4/14/2097","2/12/2099","","EggLarvaPupa","Megachile rotundata","Fungi","Deuteromycetes","unknown","Hymenoptera","Megachilidae"
"438",438,"Nosema whitei","6/12/2097","2/12/2099","6 spores / feeding arena (this dose is implied but not explicitly stated in the article)","Larva","Hyalophora cecropia","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Saturniidae"
"439",439,"Nosema whitei","6/12/2097","2/12/2099","6 spores / feeding arena (this dose is implied but not explicitly stated in the article)","Larva","Samia cynthia","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Saturniidae"
"440",440,"Nosema whitei","6/12/2097","9/13/2000","6 spores / feeding arena (this dose is implied but not explicitly stated in the article)","Larva","Manduca sexta","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Sphingidae"
"441",441,"Nosema whitei","6/12/2097","2/12/2099","6 spores / feeding arena (this dose is implied but not explicitly stated in the article)","Larva","Blaberus craniifer","Protozoa","Microspora","Microsporea (Microsporida)","Blattodea","Blaberidae"
"442",442,"Nosema whitei","6/12/2097","2/12/2099","6 spores / feeding arena (this dose is implied but not explicitly stated in the article)","Larva","Byrsotria fumigata","Protozoa","Microspora","Microsporea (Microsporida)","Blattodea","Blattidae"
"443",443,"Nosema whitei","6/12/2097","2/12/2099","6 spores / feeding arena (this dose is implied but not explicitly stated in the article)","Larva","Periplaneta americana","Protozoa","Microspora","Microsporea (Microsporida)","Blattodea","Blattidae"
"444",444,"Tetrahymena pyriformis","7/3/2097","2/12/2099","3 ciliates/ml larval medium","Larva","Aedes aegypti","Protozoa","Ciliophora","Oligohymenophorea (Hymenostomatida)","Diptera","Culicidae"
"445",445,"Bacillus popilliae","7/10/2097","9/13/2000","","Larva","Rhizotrogus majalis","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera ","Scarabaeidae "
"446",446,"Bacillus euloomarahae","7/10/2097","2/12/2099","","Larva","Cetonia aurata","Bacteria","Spore-forming bacteria","Bacillaceae","Coleoptera","Scarabaeidae"
