"","PathogenSpecies","Group","HighTaxon","LowTaxon","AdditionalNotes"
"157","Hirsutella guyana","Fungi","Deuteromycetes","unknown",""
"158","Hirsutella longicolla","Fungi","Deuteromycetes","unknown",""
"159","Hirsutella repens","Fungi","Deuteromycetes","unknown",""
"160","Hirsutella satumaensis","Fungi","Deuteromycetes","unknown",""
"161","Hirsutella  sp. ","Fungi","Deuteromycetes","unknown",""
"162","Hirsutella strigosa","Fungi","Deuteromycetes","unknown",""
"163","Hirsutella stylophora","Fungi","Deuteromycetes","unknown",""
"164","Hirsutella thompsonii","Fungi","Deuteromycetes","unknown",""
"165","Hirsutella verticillioides","Fungi","Deuteromycetes","unknown",""
"166","Humicola  sp.","Fungi","Deuteromycetes","unknown",""
"167","Metarhizium album","Fungi","Deuteromycetes","unknown",""
"168","Metarhizium anisopliae","Fungi","Deuteromycetes","unknown",""
"169","Metarhizium anisopliae var. majus","Fungi","Deuteromycetes","unknown",""
"170","Metarhizium cylindrosporae ","Fungi","Deuteromycetes","unknown",""
"171","Metarhizium flavoviride ","Fungi","Deuteromycetes","unknown",""
"172","Metarhizium flavoviride var. minus","Fungi","Deuteromycetes","unknown",""
"173","Nomuraea rileyi","Fungi","Deuteromycetes","unknown",""
"174","Nomuraea  sp.","Fungi","Deuteromycetes","unknown",""
"175","Penicillium  sp.","Fungi","Deuteromycetes","unknown",""
"176","Penicillium thomii","Fungi","Deuteromycetes","unknown",""
"177","Peziotrichum lachnella","Fungi","Deuteromycetes","unknown",""
"178","Peziotrichum saccardinum","Fungi","Deuteromycetes","unknown",""
"179","Phialophora malorum","Fungi","Deuteromycetes","unknown",""
"180","Phoma cava","Fungi","Deuteromycetes","unknown",""
"181","Polycephalomyces formosus","Fungi","Deuteromycetes","unknown",""
"182","Scopulariopsis  sp.","Fungi","Deuteromycetes","unknown",""
"183","Sorosporella uvella","Fungi","Deuteromycetes","unknown",""
"184","Sporothrix insectorum","Fungi","Deuteromycetes","unknown",""
"185","Sporothrix  sp.","Fungi","Deuteromycetes","unknown",""
"186","Stilbum coccorum","Fungi","Deuteromycetes","unknown",""
"187","Tilletiopsis  sp.","Fungi","Deuteromycetes","unknown",""
"188","Tolypocladium cylindrosporum","Fungi","Deuteromycetes","unknown",""
"189","Tolypocladium extinguens","Fungi","Deuteromycetes","unknown",""
"190","Tolypocladium niveum","Fungi","Deuteromycetes","unknown",""
"191","Verticillium chlamydosporium","Fungi","Deuteromycetes","unknown",""
"192","Verticillium coccosporum","Fungi","Deuteromycetes","unknown",""
"193","Verticillium fungicola","Fungi","Deuteromycetes","unknown",""
"194","Verticillium fusisporum","Fungi","Deuteromycetes","unknown",""
