"","PathogenSpecies","Group","HighTaxon","LowTaxon","AdditionalNotes"
"700","Malameba scolyti","Protozoa","Rhizopoda","Lobosea (Amoebida)","Genus not in Corliss, 1994.  Placement from Tanada & Kaya."
"701","Octosporea collembolae","Protozoa","Microspora","Microsporea (Microsporida)",""
"702","Nosema apicalis","Protozoa","Microspora","Microsporea (Microsporida)",""
"703","Entomophthora tabanivora","Fungi","Zygomycetes","Entomophthorales",""
"704","Lagenidium sp. ","Fungi","Oomycetes","Lagenidiales",""
"705","Microsporidium fimbriatum","Protozoa","Microspora","Microsporea (Microsporida)",""
"706","Leidyana phryganidiae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"707","Babesia caballi","Protozoa","Apicomplexa","Haematozoea (Piroplasmida)",""
"708","Hyalinocysta expilatoria","Protozoa","Microspora","Microsporea (Microsporida)","Verify genus.  This genus was downgraded by Kilochitsky (ref 1855) to subgenus of Amblyospora.  "
"709","Amblyospora dyxenoides","Protozoa","Microspora","Microsporea (Microsporida)",""
"710","Parathelohania anophelis","Protozoa","Microspora","Microsporea (Microsporida)",""
"711","Melissococcus pluton","Bacteria","Non-spore-forming bacteria","Streptococcaceae",""
"712","Alternaria tenuis","Fungi","Deuteromycetes","unknown",""
"713","Amblyospora indicola","Protozoa","Microspora","Microsporea (Microsporida)",""
"714","Napamichum aequifilum","Protozoa","Microspora","Microsporea (Microsporida)",""
"715","Hirsutella longicolla var. cornuta","Fungi","Deuteromycetes","unknown",""
"716","Coelomomyces irani","Fungi","Chytridiomycetes","Blastocladiales",""
"717","Microsporidium aedium","Protozoa","Microspora","Microsporea (Microsporida)",""
"718","Entoderma colletosporium","Fungi","Deuteromycetes","unknown",""
"719","Myrmicinosporidium durum","Fungi","Unknown","unknown",""
"720","Merocinta davidii","Protozoa","Microspora","Microsporea (Microsporida)",""
"721","Duboscqia dengihilli","Protozoa","Microspora","Microsporea (Microsporida)",""
"722","Unikaryon minutum","Protozoa","Microspora","Microsporea (Microsporida)","According to Weiser et al (EDWIP ref 1883) this species sb in Canningia now (Canningia minuta)."
"723","Spiroplasma citri","Mollicutes","Spiroplasma","Spiroplasmataceae",""
"724","Pleistophora schubergi","Protozoa","Microspora","Microsporea (Microsporida)","Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
"725","Amblyospora polykarya","Protozoa","Microspora","Microsporea (Microsporida)",""
"726","Microsporidium goeldichironomi","Protozoa","Microspora","Microsporea (Microsporida)",""
"727","Entomophthora sphaerosperma","Fungi","Zygomycetes","Entomophthorales",""
"728","Farinocystis tribolii","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"729","Synnematium jonesii","Fungi","Deuteromycetes","unknown",""
"730","Entomophthora aulicae","Fungi","Zygomycetes","Entomophthorales","Which is current?  Entomophaga or Entomophthora"
"731","Entomophthora lampyridarum","Fungi","Zygomycetes","Entomophthorales",""
"732","Funicularis triseriatus","Fungi","Deuteromycetes","unknown",""
"733","Nosema transitella","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  transitella or transitellae?"
"734","Amoebidium parasiticum","Fungi","Trichomycetes","Amoebidiales",""
"735","Entomophthora echinospora","Fungi","Zygomycetes","Entomophthorales",""
"736","Coelomomyces macleayae","Fungi","Chytridiomycetes","Blastocladiales",""
"737","Entomophthora bullata","Fungi","Zygomycetes","Entomophthorales",""
"738","Haemoproteus columbae","Protozoa","Apicomplexa","Haematozoea (Haemospororida)",""
"739","Fusarium roseum","Fungi","Deuteromycetes","unknown",""
"740","Fusarium episphaeria","Fungi","Deuteromycetes","unknown",""
"741","Lymphotropha tribolii","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"742","Adelina cryptocerci","Protozoa","Apicomplexa","Coccidea (Adeleida)",""
"743","Nosema salivaria","Protozoa","Microspora","Microsporea (Microsporida)",""
"744","Amblyospora coluzzii","Protozoa","Microspora","Microsporea (Microsporida)",""
"745","Amblyospora kaduanae","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  Should it be kaduanae or kadunae?"
"746","Amblyospora nigeriana","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  Should it be nigeriana or nigeria?"
"747","Amblyospora trinus","Protozoa","Microspora","Microsporea (Microsporida)",""
"748","Systenostrema alba","Protozoa","Microspora","Microsporea (Microsporida)",""
"749","Systenostrema candida","Protozoa","Microspora","Microsporea (Microsporida)",""
"750","Pleistophora oribatei","Protozoa","Microspora","Microsporea (Microsporida)",""
"751","Pleistophora cephei","Protozoa","Microspora","Microsporea (Microsporida)",""
"752","Pleistophora platynothri","Protozoa","Microspora","Microsporea (Microsporida)",""
"753","Pleistophora dindali","Protozoa","Microspora","Microsporea (Microsporida)",""
"754","Thelohania microtritiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"755","Nosema steganacari","Protozoa","Microspora","Microsporea (Microsporida)",""
"756","Nosema acari","Protozoa","Microspora","Microsporea (Microsporida)",""
"757","Nosema fuhreri","Protozoa","Microspora","Microsporea (Microsporida)",""
"758","Amblyospora undulata","Protozoa","Microspora","Microsporea (Microsporida)",""
"759","Nosema henosepilachnae","Protozoa","Microspora","Microsporea (Microsporida)",""
"760","Tuzetia ecdyonuri","Protozoa","Microspora","Microsporea (Microsporida)",""
"761","Tuzetia skuldae","Protozoa","Microspora","Microsporea (Microsporida)",""
"762","Tuzetia verdandiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"763","Janacekia undinarum","Protozoa","Microspora","Microsporea (Microsporida)",""
"764","Mucor hiemalis","Fungi","Zygomycetes","Mucorales",""
"765","Penicillium terrestre","Fungi","Deuteromycetes","unknown",""
"766","Penicillium notatum","Fungi","Deuteromycetes","unknown",""
"767","Trichoderma koningii","Fungi","Deuteromycetes","unknown",""
"768","Fusarium poae","Fungi","Deuteromycetes","unknown",""
"769","Cladosporium herbarum","Fungi","Deuteromycetes","unknown",""
"770","Acremoniella atra","Fungi","Deuteromycetes","unknown",""
"771","Helicosporidium parasiticum","Fungi","","","Tanada & Kaya (p. 414) refers to genus as in ‘helicosporidia’ (gives no level designation for the taxon) and says ‘helicosporidia’ have been considered both protozoa and fungi.  Corliss (1994) p. 20, puts the genus in the fungi."
"772","Lambornella stegomyiae","Protozoa","Ciliophora","Oligohymenophorea (Hymenostomatida)",""
"773","Amblyospora abserrati","Protozoa","Microspora","Microsporea (Microsporida)",""
"774","Diplocystis major","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"775","Diplocystis minor","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"776","Meristacrum milkoi","Fungi","Zygomycetes","Entomophthorales",""
"777","Aeromonas punctata","Bacteria","Non-spore-forming bacteria","Vibrionaceae",""
"778","Amblyospora aegypti","Protozoa","Microspora","Microsporea (Microsporida)",""
"779","Amblyospora auriferi","Protozoa","Microspora","Microsporea (Microsporida)",""
"780","Amblyospora capillata","Protozoa","Microspora","Microsporea (Microsporida)",""
"781","Amblyospora cataphyllus","Protozoa","Microspora","Microsporea (Microsporida)",""
"782","Amblyospora cinerei","Protozoa","Microspora","Microsporea (Microsporida)",""
"783","Amblyospora conopsa","Protozoa","Microspora","Microsporea (Microsporida)",""
"784","Amblyospora excrucii","Protozoa","Microspora","Microsporea (Microsporida)",""
"785","Amblyospora hybomitrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"786","Amblyospora mojingensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"787","Amblyospora pinensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"788","Amblyospora punctor","Protozoa","Microspora","Microsporea (Microsporida)",""
"789","Amblyospora stictici","Protozoa","Microspora","Microsporea (Microsporida)",""
"790","Amblyospora stimuli","Protozoa","Microspora","Microsporea (Microsporida)",""
"791","Amblyospora tritaeniorhynchi","Protozoa","Microspora","Microsporea (Microsporida)",""
"792","Amblyospora varians","Protozoa","Microspora","Microsporea (Microsporida)",""
"793","Ameson hybomitrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"794","Ancaliia meligethi","Protozoa","Microspora","Microsporea (Microsporida)","Spelling.  Ancaliia or Anncaliia?"
"795","Aurospora canningae","Protozoa","Microspora","Microsporea (Microsporida)",""
"796","Bacillidium chironomi","Protozoa","Microspora","Microsporea (Microsporida)",""
"797","Coccidiascus legeri","Fungi","Ascomycota","Saccharomycetales",""
"798","Coelomomyces dodgei","Fungi","Chytridiomycetes","Blastocladiales",""
"799","Cristulospora aedis","Protozoa","Microspora","Microsporea (Microsporida)",""
"800","Cristulospora cadyrovi","Protozoa","Microspora","Microsporea (Microsporida)",""
"801","Culicospora damnosi","Protozoa","Microspora","Microsporea (Microsporida)",""
"802","Duboscqia aediphaga","Protozoa","Microspora","Microsporea (Microsporida)",""
"803","Duboscqia philiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"804","Encephalitozoon flavescens","Protozoa","Microspora","Microsporea (Microsporida)",""
"805","Gurleya francottei","Protozoa","Microspora","Microsporea (Microsporida)",""
"806","Gurleya spraguei","Protozoa","Microspora","Microsporea (Microsporida)",""
"807","Helmichia simuliae","Protozoa","Microspora","Microsporea (Microsporida)",""
"808","Hirsutella nodulosa","Fungi","Deuteromycetes","unknown",""
"809","Issia globulifera","Protozoa","Microspora","Microsporea (Microsporida)",""
"810","Janacekia adipophila","Protozoa","Microspora","Microsporea (Microsporida)",""
"811","Leidyana berkeleyi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"812","Malpighamoeba mellificae","Protozoa","Rhizopoda","Lobosea (Amoebida)","Genus not in Corliss, 1994.  Placement from Tanada & Kaya."
"813","Microsporidium argyrogrammio","Protozoa","Microspora","Microsporea (Microsporida)",""
"814","Microsporidium italicus","Protozoa","Microspora","Microsporea (Microsporida)",""
"815","MIcrosporidium itiiti","Protozoa","Microspora","Microsporea (Microsporida)",""
"816","Microsporidium lairdi","Protozoa","Microspora","Microsporea (Microsporida)",""
"817","Microsporidium lotaensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"818","Microsporidium sitophili","Protozoa","Microspora","Microsporea (Microsporida)",""
"819","Nectria aurantiicola","Fungi","Pyrenomycetes","Hypocreales",""
"820","Nosema adelae","Protozoa","Microspora","Microsporea (Microsporida)",""
"821","Nosema adiei","Protozoa","Microspora","Microsporea (Microsporida)",""
"822","Nosema agnatae","Protozoa","Microspora","Microsporea (Microsporida)",""
"823","Nosema apterygotae","Protozoa","Microspora","Microsporea (Microsporida)",""
"824","Nosema birgii","Protozoa","Microspora","Microsporea (Microsporida)",""
"825","Nosema blissi","Protozoa","Microspora","Microsporea (Microsporida)",""
"826","Nosema calcarati","Protozoa","Microspora","Microsporea (Microsporida)",""
"827","Nosema ctenocephali","Protozoa","Microspora","Microsporea (Microsporida)",""
"828","Nosema dungeri","Protozoa","Microspora","Microsporea (Microsporida)",""
"829","Nosema equestris","Protozoa","Microspora","Microsporea (Microsporida)",""
"830","Nosema eurytremae","Protozoa","Microspora","Microsporea (Microsporida)",""
"831","Nosema euzeti","Protozoa","Microspora","Microsporea (Microsporida)",""
"832","Nosema galerucellae","Protozoa","Microspora","Microsporea (Microsporida)",""
"833","Nosema galleriae","Protozoa","Microspora","Microsporea (Microsporida)",""
"834","Nosema gastroideae","Protozoa","Microspora","Microsporea (Microsporida)",""
"835","Nosema hylobii","Protozoa","Microspora","Microsporea (Microsporida)",""
"836","Nosema infuscatellus","Protozoa","Microspora","Microsporea (Microsporida)",""
"837","Nosema ixodis","Protozoa","Microspora","Microsporea (Microsporida)",""
"838","Nosema lepidocyrti","Protozoa","Microspora","Microsporea (Microsporida)",""
"839","Nosema limbata","Protozoa","Microspora","Microsporea (Microsporida)",""
"840","Nosema liturae","Protozoa","Microspora","Microsporea (Microsporida)",""
"841","Nosema longifilum","Protozoa","Microspora","Microsporea (Microsporida)",""
"842","Nosema loxostegi","Protozoa","Microspora","Microsporea (Microsporida)",""
"843","Nosema manierae","Protozoa","Microspora","Microsporea (Microsporida)",""
"844","Nosema maroccanus","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  N. maroccanus or macroccanus?"
"845","Nosema marucae","Protozoa","Microspora","Microsporea (Microsporida)",""
"846","Nosema medinalis","Protozoa","Microspora","Microsporea (Microsporida)",""
"847","Nosema micratacci","Protozoa","Microspora","Microsporea (Microsporida)",""
"848","Nosema onychiurus","Protozoa","Microspora","Microsporea (Microsporida)",""
"849","Nosema orthocladii","Protozoa","Microspora","Microsporea (Microsporida)",""
"850","Nosema otiorhynchi","Protozoa","Microspora","Microsporea (Microsporida)",""
"851","Nosema pernyi","Protozoa","Microspora","Microsporea (Microsporida)",""
"852","Nosema petrosa","Protozoa","Microspora","Microsporea (Microsporida)",""
"853","Nosema porphyriniae","Protozoa","Microspora","Microsporea (Microsporida)",""
"854","Nosema ptyctimae","Protozoa","Microspora","Microsporea (Microsporida)",""
"855","Nosema pyrgomorphae","Protozoa","Microspora","Microsporea (Microsporida)",""
"856","Nosema pyrrhocoridis","Protozoa","Microspora","Microsporea (Microsporida)",""
"857","Nosema semiothisae","Protozoa","Microspora","Microsporea (Microsporida)",""
"858","Nosema steinhausi","Protozoa","Microspora","Microsporea (Microsporida)",""
"859","Nosema tephrititae","Protozoa","Microspora","Microsporea (Microsporida)",""
"860","Nosema termitis","Protozoa","Microspora","Microsporea (Microsporida)",""
"861","Nosema wistmansi","Protozoa","Microspora","Microsporea (Microsporida)",""
"862","Nosema yponomeutae","Protozoa","Microspora","Microsporea (Microsporida)",""
"863","Octosporea adipovora","Protozoa","Microspora","Microsporea (Microsporida)",""
"864","Octosporea antiquae","Protozoa","Microspora","Microsporea (Microsporida)",""
"865","Octosporea deliae","Protozoa","Microspora","Microsporea (Microsporida)",""
"866","Octosporea hybomitrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"867","Octosporea tabani","Protozoa","Microspora","Microsporea (Microsporida)",""
"868","Octotetraspora cincta","Protozoa","Microspora","Microsporea (Microsporida)",""
"869","Octotetraspora paradoxa","Protozoa","Microspora","Microsporea (Microsporida)",""
"870","Ophryocystis hylobii","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"871","Parathelohania arabiensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"872","Parathelohania chagrasensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"873","Parathelohania octolagenella","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  P. octolagella?"
"874","Perezia dichroplusae","Protozoa","Microspora","Microsporea (Microsporida)",""
"875","Plasmodium gallinaceum","Protozoa","Apicomplexa","Haematozoea (Haemospororida)",""
"876","Pleistophora aidarlovica","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  Plistophora?"
"877","Pleistophora carabidorum","Protozoa","Microspora","Microsporea (Microsporida)",""
"878","Pleistophora eretesi","Protozoa","Microspora","Microsporea (Microsporida)",""
"879","Pleistophora ganapatii","Protozoa","Microspora","Microsporea (Microsporida)",""
"880","Pleistophora hybomitrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"881","Pleistophora malthodes","Protozoa","Microspora","Microsporea (Microsporida)",""
"882","Pleistophora scatopsi","Protozoa","Microspora","Microsporea (Microsporida)",""
"883","Pleistophora scolyti","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  Plistophora?"
"884","Pleistophora syleptae","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  Plistophora?"
"885","Pleistophora tenua","Protozoa","Microspora","Microsporea (Microsporida)",""
"886","Pleistophora weiseri","Protozoa","Microspora","Microsporea (Microsporida)",""
"887","Polydispyrenia norandina","Protozoa","Microspora","Microsporea (Microsporida)",""
"888","Pulicispora xenopsyllae","Protozoa","Microspora","Microsporea (Microsporida)",""
"889","Pyrotheca hydropsycheae","Protozoa","Microspora","Microsporea (Microsporida)",""
"890","Pyxinia frenzeli","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"891","Stempellia captshagaica","Protozoa","Microspora","Microsporea (Microsporida)",""
"892","Stempellia lunata","Protozoa","Microspora","Microsporea (Microsporida)",""
"893","Stempellia rubtsovi","Protozoa","Microspora","Microsporea (Microsporida)",""
"894","Tabanispora hybomitra","Protozoa","Microspora","Microsporea (Microsporida)",""
"895","Thelohania assovi","Protozoa","Microspora","Microsporea (Microsporida)",""
"896","Thelohania bomboschi","Protozoa","Microspora","Microsporea (Microsporida)",""
"897","Thelohania collembolae","Protozoa","Microspora","Microsporea (Microsporida)",""
"898","Thelohania culisetae","Protozoa","Microspora","Microsporea (Microsporida)",""
"899","Thelohania hybomitrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"900","Thelohania hyphantriae","Protozoa","Microspora","Microsporea (Microsporida)","Ref 579 [Maddox, J.V., and Sprenkel, R.K., 1978.  Some enigmatic microsporidia of the genus Nosema. Misc. Publ. Entomol. Soc. Am. 11: 65-84] suggests this is a dimorphic species.  What is its current valid name? "
"901","Thelohania legeri","Protozoa","Microspora","Microsporea (Microsporida)",""
"902","Thelohania limbata","Protozoa","Microspora","Microsporea (Microsporida)",""
"903","Thelohania mesnili","Protozoa","Microspora","Microsporea (Microsporida)",""
"904","Thelohania obesa","Protozoa","Microspora","Microsporea (Microsporida)",""
"905","Thelohania ostrinia","Protozoa","Microspora","Microsporea (Microsporida)",""
"906","Thelohania pyriformis","Protozoa","Microspora","Microsporea (Microsporida)",""
"907","Thelohania thomsoni","Protozoa","Microspora","Microsporea (Microsporida)",""
"908","Toxoglugea tillargi","Protozoa","Microspora","Microsporea (Microsporida)",""
"909","Triplosporium floridanum","Fungi","Zygomycetes","Entomophthorales",""
"910","Tuzetia baeticida","Protozoa","Microspora","Microsporea (Microsporida)",""
"911","Tuzetia schneideri","Protozoa","Microspora","Microsporea (Microsporida)",""
"912","Unikaryon nisotrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"913","Vairimorpha ephestiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"914","Vairimorpha hybomitrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"915","Vairimorpha invictae","Protozoa","Microspora","Microsporea (Microsporida)",""
"916","Vavraia multispora","Protozoa","Microspora","Microsporea (Microsporida)",""
"917","Menzbieria chalcographi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"918","Mattesia bombi","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"919","Mattesia orchopiae","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)","Update name to Coelogregarina orchopiae?  Mattesia orchopiae belongs in the genus Coelogregarina, acc. to  Canning (1964, J. Ins. Pathol. 6: 305-317, EDWIP ref 628). "
"920","Mattesia oryzaephili","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"921","Mattesia povolnyi","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"922","Mattesia schwenkei","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"923","Lipocystis polyspora","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"924","Farinocystis tenebrioides","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"925","Gregarina acridiorum","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"926","Enterocystis ephemerae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"927","Enterocystis fungoides","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"928","Enterocystis grassei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"929","Enterocystis palmata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"930","Enterocystis racovitza","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)","Spelling?  racovitza, as in Levine, or racovitzai, as in title of ref 1693 [Gaino, E. and  Rebora, M.  1998.  Contribution to the Study of Enterocystis racovitzai, a Gregarine Parasite of Baetis rhodani (Ephemeroptera: Baetidae).  Acta Protozoologica 7: 125 - 131. ]"
"931","Enterocystis rhithrogenae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"932","Gregarina crenata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"933","Gregarina acrydiinarum","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"934","Gregarina acuta","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"935","Gregarina aethiopica","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"936","Gregarina africana","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"937","Gregarina alphitophagi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"938","Gregarina amare","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"939","Gregarina ambigua","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"940","Gregarina ampullaria","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"941","Gregarina anaboliae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"942","Gregarina antherophagi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"943","Gregarina anthici","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"944","Gregarina arietuli","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"945","Gregarina arthromacrae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"946","Gregarina atomariae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"947","Gregarina ausoniae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"948","Gregarina bancoi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"949","Gregarina bergi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"950","Gregarina blaberae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"951","Gregarina barbarara","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"952","Gregarina blattarum ","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"953","Gregarina boevi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"954","Gregarina boletophagi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"955","Gregarina brachypteri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"956","Gregarina brosci","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"957","Gregarina byrrhina","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"958","Gregarina cetoniae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"959","Gregarina cis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"960","Gregarina cerylonis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"961","Gregarina cuneata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"962","Gregarina delmasi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"963","Gregarina munieri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"964","Gregarina indianensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"965","Gregarina intestinalis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"966","Gregarina nigra","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"967","Gregarina mystacidarum","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"968","Gregarina rigida","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"969","Gregarina polymorpha","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"970","Gregarina straeleni","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"971","Gregarina monarchia","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"972","Gregarina cavalierina","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"973","Gregarina californica","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"974","Gregarina capritermitis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"975","Gregarina ceropriae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"976","Gregarina dorotheae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"977","Gregarina eccrinifera","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"978","Gregarina ernobii","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"979","Gregarina haasi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"980","Gregarina heteroceri","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"981","Gregarina hylastidis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"982","Gregarina leucopaeae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"983","Gregarina litargi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"984","Gregarina nipti","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"985","Gregarina oxytelopsis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"986","Gregarina pediciae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"987","Gregarina pharaxonothae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"988","Gregarina philolonthi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"989","Gregarina pityoktenidis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"990","Gregarina pityogenidis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"991","Gregarina pocadii","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"992","Gregarina poecili","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"993","Gregarina polyphagae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"994","Gregarina raptoris","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"995","Gregarina rivularis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"996","Gregarina scaphosomatis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"997","Gregarina signata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"998","Gregarina spinata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"999","Gregarina trogophloei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1000","Gregarina tuerkorum","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1001","Gregarina vittata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1002","Gregarina ceuthophili","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1003","Gregarina hadenoeci","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1004","Gregarina ohioensis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1005","Gregarina prima","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1006","Gregarina thomasi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1007","Gregarina chagasi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1008","Gregarina watsonae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1009","Gregarina coccinellae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1010","Gregarina forficulae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1011","Gregarina hypophloei","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1012","Gregarina clavata","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1013","Gregarina distinguenda","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"1014","Gregarina fontinalis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
