"","ERNnem","Host","Nematode","NemaOrder","NemaFamily","NemaStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate","Group"
"60",85,"Migdolus fryanus","Steinernema glaseri","Rhabditida","Steinernematidae","Araros","Larva","Hemocoel","Field","Brasil","","Xenorhabdus poinarii","none","5/26/2097","2/12/2099","Nematode"
"61",86,"Popillia japonica","Steinernema glaseri","Rhabditida","Steinernematidae","N.J. ","Larva","Hemocoel","Field","USA","","Xenorhabdus poinarii","none","5/26/2097","2/12/2099","Nematode"
"62",87,"Strigoderma arboricola","Steinernema glaseri","Rhabditida","Steinernematidae","N.C.","Larva","Hemocoel","Field","USA","","Xenorhabdus poinarii","none","5/26/2097","2/12/2099","Nematode"
"63",88,"Anomala flavipennis","Steinernema glaseri","Rhabditida","Steinernematidae","Klein","Larva","Hemocoel","Field","USA","","Xenorhabdus poinarii","none","5/26/2097","2/12/2099","Nematode"
"64",232,"Cephalcia abietis","Steinernema kraussei ","Rhabditida","Steinernematidae","not maintained ","Pupa","Hemocoel","Field","Germany, Czech Republic, Austria","coniferous forest","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"65",89,"Cephalcia abietis","Steinernema kraussei","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Germany","coniferous forest","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"66",90,"Cephalcia abietis","Steinernema kraussei","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Czech Republic","coniferous forest","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"67",91,"Cephalcia abietis","Steinernema kraussei","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Austria","coniferous forest","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"68",92,"Cephalcia falleni","Steinernema kraussei","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Germany","coniferous forest","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"69",93,"Anomala cuprea","Steinernema kushidai","Rhabditida","Steinernematidae","Hamakita","Larva","Hemocoel","Field","Japan","","Xenorhabdus japonica","none","5/26/2097","12/28/2000","Nematode"
"70",13,"Neocurtilla hexadactyla","Steinernema neocurtillis","Rhabditida","Steinernematidae","not maintained","Adult","Hemocoel","Field","USA","","undescribed","none","5/26/2097","2/12/2099","Nematode"
"71",94,"Heliothis sp.","Steinernema rarum","Rhabditida","Steinernematidae","Cordoba","Larva","Hemocoel","Field","Argentina","","Xenorhabdus sp.","none","5/26/2097","2/12/2099","Nematode"
"72",233,"Helicoverpa zea","Steinernema riobravis","Rhabditida","Steinernematidae","unknown","Pupa","Hemocoel","Field","USA","maize","undescribed","none","5/26/2097","2/12/2099","Nematode"
"73",234,"Spodoptera frugiperda","Steinernema riobravis","Rhabditida","Steinernematidae","unknown","Pupa","Hemocoel","Field","USA","maize","undescribed","none","5/26/2097","2/12/2099","Nematode"
"74",14,"Scapteriscus vicinus","Steinernema scapterisci","Rhabditida","Steinernematidae","Uruguay","Adult","Hemocoel","Field","Uruguay","","Xenorhabdus sp.","none","5/26/2097","2/12/2099","Nematode"
"75",95,"Scapteriscus borellii","Steinernema scapterisci","Rhabditida","Steinernematidae","unknown","Larva","Hemocoel","Field","Argentina","","Xenorhabdus sp.","none","5/26/2097","12/28/2000","Nematode"
"76",15,"Scapteriscus vicinus","Steinernema scapterisci","Rhabditida","Steinernematidae","green acres","Adult","Hemocoel","Field","USA","pasture, grassland","Xenorhabdus sp.","none","5/26/2097","2/12/2099","Nematode"
"77",16,"Scapteriscus borellii","Steinernema scapterisci","Rhabditida","Steinernematidae","green acres","Adult","Hemocoel","Field","USA","pasture, grassland","Xenorhabdus sp.","none","5/26/2097","12/28/2000","Nematode"
"78",96,"Phyllopertha horticola","Steinernema sp.","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland golf course","undescribed","none","5/26/2097","2/12/2099","Nematode"
"79",97,"Amphimallon solstitialis","Steinernema sp.","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland golf course","undescribed","none","5/26/2097","2/12/2099","Nematode"
"80",98,"Scitala sericans","Steinernema sp.","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Australia","","undescribed","none","5/26/2097","2/12/2099","Nematode"
"81",99,"Adoryphorus couloni","Steinernema sp.","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Australia","","undescribed","none","5/26/2097","2/12/2099","Nematode"
"82",100,"Leptinotarsa decemlineata","Steinernema sp.","Rhabditida","Steinernematidae","X-II","Larva","Hemocoel","Field","","","undescribed","none","5/26/2097","2/12/2099","Nematode"
"83",101,"Graphognathus sp.","Steinernema sp.","Rhabditida","Steinernematidae","","Larva","Hemocoel","Field","","","undescribed","none","5/27/2097","2/12/2099","Nematode"
"84",102,"Cryptorrhynchus lapathi","Steinernema sp.","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Czech Republic","","undescribed","none","5/27/2097","2/12/2099","Nematode"
"85",103,"Acantholyda posticalis","Steinernema sp.","Rhabditida","Steinernematidae","syn. janicki","Larva","Hemocoel","Field","Poland","","undescribed","none","5/27/2097","2/12/2099","Nematode"
"86",104,"Operophtera brumata","Steinernema sp.","Rhabditida","Steinernematidae","syn. thesami","Larva","Hemocoel","Field","","","undescribed","none","5/27/2097","2/12/2099","Nematode"
"87",105,"Agrotis ipsilon","Steinernema sp.","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Spain","clay loam / maize","undescribed","none","5/27/2097","2/12/2099","Nematode"
"88",106,"Agrotis segetum","Steinernema sp.","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Spain","clay loam / maize","undescribed","none","5/27/2097","2/12/2099","Nematode"
"89",107,"Sesamia nonagrioides","Steinernema sp.","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Spain","clay loam / maize","undescribed","none","5/27/2097","2/12/2099","Nematode"
"90",228,"Reticulitermes flavipes","Neosteinernema longicurvicaudum","Rhabditida","Steinernematidae","not maintained","Nymph, Adult","Head","Field","USA","loamy sand / orchard","undescribed","none","5/27/2097","2/12/2099","Nematode"
"91",108,"Popillia japonica","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Forschler ?","Larva","Hemocoel","Field","USA","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"92",109,"Amphimallon solstitialis","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","","Larva","Hemocoel","Field","Germany","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
"93",110,"Cyclocephala hirta","Heterorhabditis bacteriophora","Rhabditida","Heterorhabditidae","Ali","Larva","Hemocoel","Field","USA","","Photorhabdus luminescens","none","5/27/2097","2/12/2099","Nematode"
