ERNnem,refCode,Reference,Host,Nematode
84,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Agrotinae sp.,Steinernema feltiae
85,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Migdolus fryanus,Steinernema glaseri
86,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Popillia japonica,Steinernema glaseri
87,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.",Strigoderma arboricola,Steinernema glaseri
88,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Anomala flavipennis,Steinernema glaseri
232,1259,"Steiner, G., 1923.  Aplectana draussei n. sp., eine in der Blattwespe Lyda sp. parasitierende Nematodenform.  Aentralblatt für Bakteriologie, Parasitenkunde infectionskrankheiten und Hygiene, Abteilung ll 59: 14-18.",Cephalcia abietis,Steinernema kraussei 
89,1260,"Eichhorn, O., 1988.  Untersuchungen über die Fichtengespinsblattwespen Cephalcia spp. PANZ (Hymenoptera, Panphiliidae). II. Die Larven- und Nymphenparasiten.  Journal of Applied Entomology 105: 105-140.",Cephalcia abietis,Steinernema kraussei
90,1262,"Mrácek, A., 1986.  Nematodes and other factors controlling the sawfly, Cephaleia abietis (Pamphilidae: Hymenoptera), in Czechoslovakia,  Forest Ecology and Management 15: 75-79.",Cephalcia abietis,Steinernema kraussei
91,1261,"Fischer, P. and Fuhrer, E., 1990.  Effect of soil acidity on the entomophilic nematode Steinernema kraussei Steiner.  Biology and Fertility of Soil 9: 174-177.",Cephalcia abietis,Steinernema kraussei
92,1260,"Eichhorn, O., 1988.  Untersuchungen über die Fichtengespinsblattwespen Cephalcia spp. PANZ (Hymenoptera, Panphiliidae). II. Die Larven- und Nymphenparasiten.  Journal of Applied Entomology 105: 105-140.",Cephalcia falleni,Steinernema kraussei
93,1263,"Mamiya, Y., 1988.  Steinernema kushidai n. sp. (Nematoda: Steinernematidae) associated with scarabaeid beetle larvae from Shizuoka, Japan.  Applied Entomology and Zoology 23: 313-320.",Anomala cuprea,Steinernema kushidai
13,1264,"Nguyen, K. B. and Smart, G. C., Jr., 1992.  Steinernema neocurtillis n. sp. (Rhabditida: Steinernematidae) and key to species of the genus Steinernema.  Journal of Nematology 24: 463-477.",Neocurtilla hexadactyla,Steinernema neocurtillis
94,1267,"Doucet, M. M. A., 1986.  A new species of Neoaplectana Steiner 1929 (Nematoda: Steinernematidae) from Cordoba, Argentina.  Revue de Nematologie 9: 317-323.",Heliothis sp.,Steinernema rarum
233,1268,"Raulston, J. R., Pair, S. D., Loera, J. and Cabanillas, H. E., 1992.  Prepupal and pupal parasitism of Helicoverpa zea and Spodptera frugiperda (Lepidoptera: Noctuidae) by Steinernema sp. in cornfields in the lower Rio Grande Valley.  Journal of Economic Entomology 85: 1666-1670.",Helicoverpa zea,Steinernema riobravis
234,1268,"Raulston, J. R., Pair, S. D., Loera, J. and Cabanillas, H. E., 1992.  Prepupal and pupal parasitism of Helicoverpa zea and Spodptera frugiperda (Lepidoptera: Noctuidae) by Steinernema sp. in cornfields in the lower Rio Grande Valley.  Journal of Economic Entomology 85: 1666-1670.",Spodoptera frugiperda,Steinernema riobravis
