"","HostOriginal","HostTaxID","HostNCBIResolved","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathNCBIResolved","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom","Group","HighTaxon","Host","HostStageTested","HostTissueInfected","interaction","LogMaxDose","LowTaxon","Pathogen","insectStatus"
"4653","Amphipsalta zealandica",NA,FALSE,NA,NA,NA,NA,"118266",TRUE,"Beauveria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Amphipsalta zealandica","","",1,NA,"unknown","Beauveria brongniartii",NA
"4654","Clitarchus hookeri","325643",TRUE,"Clitarchus","Phasmatidae","Phasmatodea","Insecta","118266",TRUE,"Beauveria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Clitarchus hookeri","","",1,NA,"unknown","Beauveria brongniartii",NA
"4655","Scolypopa australis",NA,FALSE,NA,NA,NA,NA,"104307",TRUE,"Hirsutella","Ophiocordycipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Scolypopa australis","","",1,NA,"unknown","Hirsutella citriformis",NA
"4656","Melampsalta cingulata",NA,FALSE,NA,NA,NA,NA,"1909266",TRUE,"Isaria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Melampsalta cingulata","","",1,NA,"unknown","Isaria sinclairii",NA
"4657","Melampsalta cruentata",NA,FALSE,NA,NA,NA,NA,"1909266",TRUE,"Isaria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Melampsalta cruentata","","",1,NA,"unknown","Isaria sinclairii",NA
"4658","Persectania aversa",NA,FALSE,NA,NA,NA,NA,"5530",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Persectania aversa","","",1,NA,"unknown","Metarhizium anisopliae",NA
"4659","Eriococcus orariensis",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Loculoascomycetes","Eriococcus orariensis","","",1,NA,"Myriangiales","Myriangium thwaitesii",NA
"4660","Thysanoplusia orichalcea","254426",TRUE,"Thysanoplusia","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Thysanoplusia orichalcea","","",1,NA,"unknown","Nomuraea rileyi",NA
"4661","Aonidiella aurantii","30082",TRUE,"Aonidiella","Diaspididae","Hemiptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","","Aonidiella aurantii","","",1,NA,"","Sphaerostilbe auranticola","Pest"
"4662","Aedes subalbirostris","2292405",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta","38005",TRUE,"Tolypocladium","Ophiocordycipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Aedes subalbirostris","","",1,NA,"unknown","Tolypocladium cylindrosporum",NA
"4663","Scolypopa australis",NA,FALSE,NA,NA,NA,NA,"47278",TRUE,"Trichothecium",NA,"Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Scolypopa australis","","",1,NA,"unknown","Trichothecium roseum",NA
"4664","Myzus ornatus","44658",TRUE,"Myzus","Aphididae","Hemiptera","Insecta","164418",TRUE,"Conidiobolus","Ancylistaceae","Entomophthorales","Entomophthoromycetes","Fungi","Fungi","Zygomycetes","Myzus ornatus","","",1,NA,"Entomophthorales","Conidiobolus obscurus",NA
"4665","Aulacorthum primulae",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Zygomycetes","Aulacorthum primulae","","",1,NA,"Entomophthorales","Entomophthora aphidis",NA
"4666","Cavariella aegopodii","330421",TRUE,"Cavariella","Aphididae","Hemiptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Zygomycetes","Cavariella aegopodii","","",1,NA,"Entomophthorales","Entomophthora aphidis",NA
"4667","Dysaphis tulipae","1425396",TRUE,"Dysaphis","Aphididae","Hemiptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Zygomycetes","Dysaphis tulipae","","",1,NA,"Entomophthorales","Entomophthora aphidis",NA
"4668","Macrosiphum hellebori","384672",TRUE,"Macrosiphum","Aphididae","Hemiptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Zygomycetes","Macrosiphum hellebori","","",1,NA,"Entomophthorales","Entomophthora aphidis",NA
"4669","Myzus ornatus","44658",TRUE,"Myzus","Aphididae","Hemiptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Zygomycetes","Myzus ornatus","","",1,NA,"Entomophthorales","Entomophthora aphidis",NA
"4670","Sitobion miscanthi","44668",TRUE,"Sitobion","Aphididae","Hemiptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Fungi","Zygomycetes","Sitobion miscanthi","","",1,NA,"Entomophthorales","Entomophthora aphidis",NA
"4671","Cavariella aegopodii","330421",TRUE,"Cavariella","Aphididae","Hemiptera","Insecta","177370",TRUE,"Entomophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi","Fungi","Zygomycetes","Cavariella aegopodii","","",1,NA,"Entomophthorales","Entomophthora planchoniana",NA
"4672","Macrosiphum hellebori","384672",TRUE,"Macrosiphum","Aphididae","Hemiptera","Insecta","177370",TRUE,"Entomophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi","Fungi","Zygomycetes","Macrosiphum hellebori","","",1,NA,"Entomophthorales","Entomophthora planchoniana",NA
"4673","Sitobion miscanthi","44668",TRUE,"Sitobion","Aphididae","Hemiptera","Insecta","177370",TRUE,"Entomophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi","Fungi","Zygomycetes","Sitobion miscanthi","","",1,NA,"Entomophthorales","Entomophthora planchoniana",NA
"4674","Pyronota festiva",NA,FALSE,NA,NA,NA,NA,"78057",TRUE,"Paenibacillus","Paenibacillaceae","Bacillales","Bacilli",NA,"Bacteria","","Pyronota festiva","","",1,NA,"","Paenibacillus popilliae",NA
"4675","Aoraia aurimaculata",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Aoraia aurimaculata","","",1,NA,"Gregarinidea (Eugregarinida)","Diplocystis oxycani",NA
"4676","Pheloneis aeratum",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Pheloneis aeratum","","",1,NA,"Gregarinidea (Eugregarinida)","Gregarina botulina",NA
"4677","Zeadelium lentum",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Zeadelium lentum","","",1,NA,"Gregarinidea (Eugregarinida)","Gregarina botulina",NA
"4678","Zeadelium nigritulum",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Zeadelium nigritulum","","",1,NA,"Gregarinidea (Eugregarinida)","Gregarina botulina",NA
"4679","Odontria striata","50576",TRUE,"Odontria","Scarabaeidae","Coleoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Odontria striata","","",1,NA,"Gregarinidea (Eugregarinida)","Stictospora costelytrae",NA
"4680","Aoraia aurimaculata",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Apicomplexa","Aoraia aurimaculata","","",1,NA,"Gregarinidea (Eugregarinida)","Pseudomonocystis spinosus",NA
